,word,category,lexical_class
0,baa_baa,sounds,other
1,choo_choo,sounds,other
2,cockadoodledoo,sounds,other
3,grrr,sounds,other
4,meow,sounds,other
5,moo,sounds,other
6,ouch,sounds,other
7,quack_quack,sounds,other
8,uh_oh,sounds,other
9,vroom,sounds,other
10,woof_woof,sounds,other
11,yum_yum,sounds,other
12,alligator,animals,nouns
13,animal,animals,nouns
14,ant,animals,nouns
15,bear,animals,nouns
16,bee,animals,nouns
17,bird,animals,nouns
18,bug,animals,nouns
19,bunny,animals,nouns
20,butterfly,animals,nouns
21,cat,animals,nouns
22,chicken,animals,nouns
23,cow,animals,nouns
24,deer,animals,nouns
25,dog,animals,nouns
26,donkey,animals,nouns
27,duck,animals,nouns
28,elephant,animals,nouns
29,fish,animals,nouns
30,frog,animals,nouns
31,giraffe,animals,nouns
32,goose,animals,nouns
33,hen,animals,nouns
34,horse,animals,nouns
35,kitty,animals,nouns
36,lamb,animals,nouns
37,lion,animals,nouns
38,monkey,animals,nouns
39,moose,animals,nouns
40,mouse,animals,nouns
41,owl,animals,nouns
42,penguin,animals,nouns
43,pig,animals,nouns
44,pony,animals,nouns
45,puppy,animals,nouns
46,rooster,animals,nouns
47,sheep,animals,nouns
48,squirrel,animals,nouns
49,teddybear,animals,nouns
50,tiger,animals,nouns
51,turkey,animals,nouns
52,turtle,animals,nouns
53,wolf,animals,nouns
54,zebra,animals,nouns
55,airplane,vehicles,nouns
56,bicycle,vehicles,nouns
57,boat,vehicles,nouns
58,bus,vehicles,nouns
59,car,vehicles,nouns
60,firetruck,vehicles,nouns
61,helicopter,vehicles,nouns
62,motorcycle,vehicles,nouns
63,sled,vehicles,nouns
64,stroller,vehicles,nouns
65,tractor,vehicles,nouns
66,train,vehicles,nouns
67,tricycle,vehicles,nouns
68,truck,vehicles,nouns
69,ball,toys,nouns
70,balloon,toys,nouns
71,bat,toys,nouns
72,block,toys,nouns
73,book,toys,nouns
74,bubbles,toys,nouns
75,chalk,toys,nouns
76,crayon,toys,nouns
77,doll,toys,nouns
78,game,toys,nouns
79,glue,toys,nouns
80,pen,toys,nouns
81,pencil,toys,nouns
82,play_dough,toys,nouns
83,present,toys,nouns
84,puzzle,toys,nouns
85,story,toys,nouns
86,toy,toys,nouns
87,apple,food_drink,nouns
88,applesauce,food_drink,nouns
89,banana,food_drink,nouns
90,beans,food_drink,nouns
91,bread,food_drink,nouns
92,butter,food_drink,nouns
93,cake,food_drink,nouns
94,candy,food_drink,nouns
95,carrots,food_drink,nouns
96,cereal,food_drink,nouns
97,cheerios,food_drink,nouns
98,cheese,food_drink,nouns
99,chocolate,food_drink,nouns
100,coffee,food_drink,nouns
101,coke,food_drink,nouns
102,cookie,food_drink,nouns
103,corn,food_drink,nouns
104,cracker,food_drink,nouns
105,donut,food_drink,nouns
106,drink,food_drink,nouns
107,egg,food_drink,nouns
108,food,food_drink,nouns
109,french_fries,food_drink,nouns
110,grapes,food_drink,nouns
111,green_beans,food_drink,nouns
112,gum,food_drink,nouns
113,hamburger,food_drink,nouns
114,ice,food_drink,nouns
115,ice_cream,food_drink,nouns
116,jello,food_drink,nouns
117,jelly,food_drink,nouns
118,juice,food_drink,nouns
119,lollipop,food_drink,nouns
120,meat,food_drink,nouns
121,melon,food_drink,nouns
122,milk,food_drink,nouns
123,muffin,food_drink,nouns
124,noodles,food_drink,nouns
125,nuts,food_drink,nouns
126,orange,food_drink,nouns
127,pancake,food_drink,nouns
128,peas,food_drink,nouns
129,peanut_butter,food_drink,nouns
130,pickle,food_drink,nouns
131,pizza,food_drink,nouns
132,popcorn,food_drink,nouns
133,popsicle,food_drink,nouns
134,potato_chip,food_drink,nouns
135,potato,food_drink,nouns
136,pretzel,food_drink,nouns
137,pudding,food_drink,nouns
138,pumpkin,food_drink,nouns
139,raisin,food_drink,nouns
140,salt,food_drink,nouns
141,sandwich,food_drink,nouns
142,sauce,food_drink,nouns
143,soda,food_drink,nouns
144,soup,food_drink,nouns
145,spaghetti,food_drink,nouns
146,strawberry,food_drink,nouns
147,toast,food_drink,nouns
148,tuna,food_drink,nouns
149,vanilla,food_drink,nouns
150,vitamins,food_drink,nouns
151,water,food_drink,nouns
152,yogurt,food_drink,nouns
153,beads,clothing,nouns
154,belt,clothing,nouns
155,bib,clothing,nouns
156,boots,clothing,nouns
157,button,clothing,nouns
158,coat,clothing,nouns
159,diaper,clothing,nouns
160,dress,clothing,nouns
161,gloves,clothing,nouns
162,hat,clothing,nouns
163,jacket,clothing,nouns
164,jeans,clothing,nouns
165,mittens,clothing,nouns
166,necklace,clothing,nouns
167,pajamas,clothing,nouns
168,pants,clothing,nouns
169,scarf,clothing,nouns
170,shirt,clothing,nouns
171,shoe,clothing,nouns
172,shorts,clothing,nouns
173,slipper,clothing,nouns
174,sneaker,clothing,nouns
175,snowsuit,clothing,nouns
176,sock,clothing,nouns
177,sweater,clothing,nouns
178,tights,clothing,nouns
179,underpants,clothing,nouns
180,zipper,clothing,nouns
181,ankle,body_parts,nouns
182,arm,body_parts,nouns
183,belly_button,body_parts,nouns
184,buttocks,body_parts,nouns
185,cheek,body_parts,nouns
186,chin,body_parts,nouns
187,ear,body_parts,nouns
188,eye,body_parts,nouns
189,face,body_parts,nouns
190,finger,body_parts,nouns
191,foot,body_parts,nouns
192,hair,body_parts,nouns
193,hand,body_parts,nouns
194,head,body_parts,nouns
195,knee,body_parts,nouns
196,leg,body_parts,nouns
197,lips,body_parts,nouns
198,mouth,body_parts,nouns
199,nose,body_parts,nouns
200,owie,body_parts,nouns
201,penis,body_parts,nouns
202,shoulder,body_parts,nouns
203,toe,body_parts,nouns
204,tongue,body_parts,nouns
205,tooth,body_parts,nouns
206,tummy,body_parts,nouns
207,vagina,body_parts,nouns
208,basket,household,nouns
209,blanket,household,nouns
210,bottle,household,nouns
211,bowl,household,nouns
212,box,household,nouns
213,broom,household,nouns
214,brush,household,nouns
215,bucket,household,nouns
216,camera,household,nouns
217,can,household,nouns
218,clock,household,nouns
219,comb,household,nouns
220,cup,household,nouns
221,dish,household,nouns
222,fork,household,nouns
223,garbage,household,nouns
224,glass,household,nouns
225,glasses,household,nouns
226,hammer,household,nouns
227,jar,household,nouns
228,keys,household,nouns
229,knife,household,nouns
230,lamp,household,nouns
231,light,household,nouns
232,medicine,household,nouns
233,money,household,nouns
234,mop,household,nouns
235,nail,household,nouns
236,napkin,household,nouns
237,paper,household,nouns
238,penny,household,nouns
239,picture,household,nouns
240,pillow,household,nouns
241,plant,household,nouns
242,plate,household,nouns
243,purse,household,nouns
244,radio,household,nouns
245,scissors,household,nouns
246,soap,household,nouns
247,spoon,household,nouns
248,tape,household,nouns
249,telephone,household,nouns
250,tissue,household,nouns
251,toothbrush,household,nouns
252,towel,household,nouns
253,trash,household,nouns
254,tray,household,nouns
255,vacuum,household,nouns
256,walker,household,nouns
257,watch,household,nouns
258,basement,furniture_rooms,nouns
259,bathroom,furniture_rooms,nouns
260,bathtub,furniture_rooms,nouns
261,bed,furniture_rooms,nouns
262,bedroom,furniture_rooms,nouns
263,bench,furniture_rooms,nouns
264,chair,furniture_rooms,nouns
265,closet,furniture_rooms,nouns
266,couch,furniture_rooms,nouns
267,crib,furniture_rooms,nouns
268,door,furniture_rooms,nouns
269,drawer,furniture_rooms,nouns
270,dryer,furniture_rooms,nouns
271,garage,furniture_rooms,nouns
272,high_chair,furniture_rooms,nouns
273,kitchen,furniture_rooms,nouns
274,living_room,furniture_rooms,nouns
275,oven,furniture_rooms,nouns
276,play_pen,furniture_rooms,nouns
277,porch,furniture_rooms,nouns
278,potty,furniture_rooms,nouns
279,rocking_chair,furniture_rooms,nouns
280,refrigerator,furniture_rooms,nouns
281,room,furniture_rooms,nouns
282,shower,furniture_rooms,nouns
283,sink,furniture_rooms,nouns
284,sofa,furniture_rooms,nouns
285,stairs,furniture_rooms,nouns
286,stove,furniture_rooms,nouns
287,table,furniture_rooms,nouns
288,tv,furniture_rooms,nouns
289,window,furniture_rooms,nouns
290,washing_machine,furniture_rooms,nouns
291,backyard,outside,nouns
292,cloud,outside,nouns
293,flag,outside,nouns
294,flower,outside,nouns
295,garden,outside,nouns
296,grass,outside,nouns
297,hose,outside,nouns
298,ladder,outside,nouns
299,lawn_mower,outside,nouns
300,moon,outside,nouns
301,pool,outside,nouns
302,rain,outside,nouns
303,rock,outside,nouns
304,roof,outside,nouns
305,sandbox,outside,nouns
306,shovel,outside,nouns
307,sidewalk,outside,nouns
308,sky,outside,nouns
309,slide,outside,nouns
310,snow,outside,nouns
311,snowman,outside,nouns
312,sprinkler,outside,nouns
313,star,outside,nouns
314,stick,outside,nouns
315,stone,outside,nouns
316,street,outside,nouns
317,sun,outside,nouns
318,swing,outside,nouns
319,tree,outside,nouns
320,wind,outside,nouns
321,beach,places,other
322,camping,places,other
323,church,places,other
324,circus,places,other
325,country,places,other
326,downtown,places,other
327,farm,places,other
328,gas_station,places,other
329,home,places,other
330,house,places,other
331,movie,places,other
332,outside,places,other
333,park,places,other
334,party,places,other
335,picnic,places,other
336,playground,places,other
337,school,places,other
338,store,places,other
339,woods,places,other
340,work,places,other
341,yard,places,other
342,zoo,places,other
343,aunt,people,other
344,baby,people,other
345,babysitter,people,other
346,boy,people,other
347,brother,people,other
348,child,people,other
349,clown,people,other
350,cowboy,people,other
351,daddy,people,other
352,doctor,people,other
353,fireman,people,other
354,friend,people,other
355,girl,people,other
356,grandma,people,other
357,grandpa,people,other
358,lady,people,other
359,mailman,people,other
360,man,people,other
361,mommy,people,other
362,nurse,people,other
363,people,people,other
364,person,people,other
365,police,people,other
366,sister,people,other
367,teacher,people,other
368,uncle,people,other
369,bath,games_routines,other
370,breakfast,games_routines,other
371,bye,games_routines,other
372,call,games_routines,other
373,dinner,games_routines,other
374,give_me_five,games_routines,other
375,gonna_get_you,games_routines,other
376,go_potty,games_routines,other
377,hello,games_routines,other
378,hi,games_routines,other
379,lunch,games_routines,other
380,nap,games_routines,other
381,night_night,games_routines,other
382,no,games_routines,other
383,pattycake,games_routines,other
384,peekaboo,games_routines,other
385,please,games_routines,other
386,shh,games_routines,other
387,shopping,games_routines,other
388,snack,games_routines,other
389,so_big,games_routines,other
390,thank_you,games_routines,other
391,this_little_piggy,games_routines,other
392,turn_around,games_routines,other
393,yes,games_routines,other
394,bite,action_words,verbs
395,blow,action_words,verbs
396,break,action_words,verbs
397,bring,action_words,verbs
398,build,action_words,verbs
399,bump,action_words,verbs
400,buy,action_words,verbs
401,carry,action_words,verbs
402,catch,action_words,verbs
403,chase,action_words,verbs
404,clap,action_words,verbs
405,clean,action_words,verbs
406,climb,action_words,verbs
407,close,action_words,verbs
408,cook,action_words,verbs
409,cover,action_words,verbs
410,cry,action_words,verbs
411,cut,action_words,verbs
412,dance,action_words,verbs
413,draw,action_words,verbs
414,drive,action_words,verbs
415,drop,action_words,verbs
416,dry,action_words,verbs
417,dump,action_words,verbs
418,eat,action_words,verbs
419,fall,action_words,verbs
420,feed,action_words,verbs
421,find,action_words,verbs
422,finish,action_words,verbs
423,fit,action_words,verbs
424,fix,action_words,verbs
425,get,action_words,verbs
426,give,action_words,verbs
427,go,action_words,verbs
428,hate,action_words,verbs
429,have,action_words,verbs
430,hear,action_words,verbs
431,help,action_words,verbs
432,hide,action_words,verbs
433,hit,action_words,verbs
434,hold,action_words,verbs
435,hug,action_words,verbs
436,hurry,action_words,verbs
437,jump,action_words,verbs
438,kick,action_words,verbs
439,kiss,action_words,verbs
440,knock,action_words,verbs
441,lick,action_words,verbs
442,like,action_words,verbs
443,listen,action_words,verbs
444,look,action_words,verbs
445,love,action_words,verbs
446,make,action_words,verbs
447,open,action_words,verbs
448,paint,action_words,verbs
449,pick,action_words,verbs
450,play,action_words,verbs
451,pour,action_words,verbs
452,pretend,action_words,verbs
453,pull,action_words,verbs
454,push,action_words,verbs
455,put,action_words,verbs
456,read,action_words,verbs
457,ride,action_words,verbs
458,rip,action_words,verbs
459,run,action_words,verbs
460,say,action_words,verbs
461,see,action_words,verbs
462,shake,action_words,verbs
463,share,action_words,verbs
464,show,action_words,verbs
465,sing,action_words,verbs
466,sit,action_words,verbs
467,skate,action_words,verbs
468,sleep,action_words,verbs
469,smile,action_words,verbs
470,spill,action_words,verbs
471,splash,action_words,verbs
472,stand,action_words,verbs
473,stay,action_words,verbs
474,stop,action_words,verbs
475,sweep,action_words,verbs
476,swim,action_words,verbs
477,take,action_words,verbs
478,talk,action_words,verbs
479,taste,action_words,verbs
480,tear,action_words,verbs
481,think,action_words,verbs
482,throw,action_words,verbs
483,tickle,action_words,verbs
484,touch,action_words,verbs
485,wait,action_words,verbs
486,wake,action_words,verbs
487,walk,action_words,verbs
488,wash,action_words,verbs
489,wipe,action_words,verbs
490,wish,action_words,verbs
491,write,action_words,verbs
492,all_gone,descriptive_words,adjectives
493,asleep,descriptive_words,adjectives
494,awake,descriptive_words,adjectives
495,bad,descriptive_words,adjectives
496,better,descriptive_words,adjectives
497,big,descriptive_words,adjectives
498,black,descriptive_words,adjectives
499,blue,descriptive_words,adjectives
500,broken,descriptive_words,adjectives
501,brown,descriptive_words,adjectives
502,careful,descriptive_words,adjectives
503,cold,descriptive_words,adjectives
504,cute,descriptive_words,adjectives
505,dark,descriptive_words,adjectives
506,dirty,descriptive_words,adjectives
507,empty,descriptive_words,adjectives
508,fast,descriptive_words,adjectives
509,fine,descriptive_words,adjectives
510,first,descriptive_words,adjectives
511,full,descriptive_words,adjectives
512,gentle,descriptive_words,adjectives
513,good,descriptive_words,adjectives
514,green,descriptive_words,adjectives
515,happy,descriptive_words,adjectives
516,hard,descriptive_words,adjectives
517,heavy,descriptive_words,adjectives
518,high,descriptive_words,adjectives
519,hot,descriptive_words,adjectives
520,hungry,descriptive_words,adjectives
521,hurt,descriptive_words,adjectives
522,last,descriptive_words,adjectives
523,little,descriptive_words,adjectives
524,long,descriptive_words,adjectives
525,loud,descriptive_words,adjectives
526,mad,descriptive_words,adjectives
527,naughty,descriptive_words,adjectives
528,new,descriptive_words,adjectives
529,nice,descriptive_words,adjectives
530,noisy,descriptive_words,adjectives
531,old,descriptive_words,adjectives
532,poor,descriptive_words,adjectives
533,pretty,descriptive_words,adjectives
534,quiet,descriptive_words,adjectives
535,red,descriptive_words,adjectives
536,sad,descriptive_words,adjectives
537,scared,descriptive_words,adjectives
538,sick,descriptive_words,adjectives
539,sleepy,descriptive_words,adjectives
540,slow,descriptive_words,adjectives
541,soft,descriptive_words,adjectives
542,sticky,descriptive_words,adjectives
543,stuck,descriptive_words,adjectives
544,thirsty,descriptive_words,adjectives
545,tiny,descriptive_words,adjectives
546,tired,descriptive_words,adjectives
547,wet,descriptive_words,adjectives
548,white,descriptive_words,adjectives
549,windy,descriptive_words,adjectives
550,yellow,descriptive_words,adjectives
551,yucky,descriptive_words,adjectives
552,after,time_words,other
553,before,time_words,other
554,day,time_words,other
555,later,time_words,other
556,morning,time_words,other
557,night,time_words,other
558,now,time_words,other
559,time,time_words,other
560,today,time_words,other
561,tomorrow,time_words,other
562,tonight,time_words,other
563,yesterday,time_words,other
564,he,pronouns,function_words
565,her,pronouns,function_words
566,hers,pronouns,function_words
567,him,pronouns,function_words
568,his,pronouns,function_words
569,i,pronouns,function_words
570,it,pronouns,function_words
571,me,pronouns,function_words
572,mine,pronouns,function_words
573,my,pronouns,function_words
574,myself,pronouns,function_words
575,our,pronouns,function_words
576,she,pronouns,function_words
577,that,pronouns,function_words
578,their,pronouns,function_words
579,them,pronouns,function_words
580,these,pronouns,function_words
581,they,pronouns,function_words
582,this,pronouns,function_words
583,those,pronouns,function_words
584,us,pronouns,function_words
585,we,pronouns,function_words
586,you,pronouns,function_words
587,your,pronouns,function_words
588,yourself,pronouns,function_words
589,how,question_words,function_words
590,what,question_words,function_words
591,when,question_words,function_words
592,where,question_words,function_words
593,which,question_words,function_words
594,who,question_words,function_words
595,why,question_words,function_words
596,about,locations,function_words
597,above,locations,function_words
598,around,locations,function_words
599,at,locations,function_words
600,away,locations,function_words
601,back,locations,function_words
602,behind,locations,function_words
603,beside,locations,function_words
604,by,locations,function_words
605,down,locations,function_words
606,for,locations,function_words
607,here,locations,function_words
608,inside,locations,function_words
609,into,locations,function_words
610,next_to,locations,function_words
611,of,locations,function_words
612,off,locations,function_words
613,on,locations,function_words
614,on_top_of,locations,function_words
615,out,locations,function_words
616,over,locations,function_words
617,there,locations,function_words
618,to,locations,function_words
619,under,locations,function_words
620,up,locations,function_words
621,with,locations,function_words
622,a,quantifiers,function_words
623,all,quantifiers,function_words
624,a_lot,quantifiers,function_words
625,an,quantifiers,function_words
626,another,quantifiers,function_words
627,any,quantifiers,function_words
628,each,quantifiers,function_words
629,every,quantifiers,function_words
630,more,quantifiers,function_words
631,much,quantifiers,function_words
632,none,quantifiers,function_words
633,not,quantifiers,function_words
634,other,quantifiers,function_words
635,same,quantifiers,function_words
636,some,quantifiers,function_words
637,the,quantifiers,function_words
638,too,quantifiers,function_words
639,am,helping_verbs,function_words
640,are,helping_verbs,function_words
641,be,helping_verbs,function_words
642,could,helping_verbs,function_words
643,did,helping_verbs,function_words
644,do,helping_verbs,function_words
645,does,helping_verbs,function_words
646,dont,helping_verbs,function_words
647,gonna,helping_verbs,function_words
648,gotta,helping_verbs,function_words
649,hafta,helping_verbs,function_words
650,is,helping_verbs,function_words
651,lemme,helping_verbs,function_words
652,need,helping_verbs,function_words
653,try,helping_verbs,function_words
654,wanna,helping_verbs,function_words
655,was,helping_verbs,function_words
656,were,helping_verbs,function_words
657,will,helping_verbs,function_words
658,would,helping_verbs,function_words
659,and,connecting_words,function_words
660,because,connecting_words,function_words
661,but,connecting_words,function_words
662,if,connecting_words,function_words
663,so,connecting_words,function_words
664,then,connecting_words,function_words
0,one,number,other
1,two,number,other
2,three,number,other
3,four,number,other
4,five,number,other
5,six,number,other
6,seven,number,other
7,eight,number,other
8,nine,number,other
9,ten,number,other
10,eleven,number,other
11,twelve,number,other
12,thirteen,number,other
13,fourteen,number,other
14,fifteen,number,other
15,sixteen,number,other
16,seventeen,number,other
17,eighteen,number,other
18,nineteen,number,other
19,twenty,number,other
20,thirty,number,other
21,forty,number,other
22,fifty,number,other
23,sixty,number,other
24,seventy,number,other
25,eighty,number,other
26,ninety,number,other
27,zero,number,other
